transformed_value,cluster_value
On The Sunny Side Of The Street by Tommy Dorsey and His Orchestra,ON THE SUNNY SIDE OF THE STREET by Tommy Dorsey and His Orchestra
The Birth Of The Blues by Frank Sinatra,The Birth Of The Blues by Frank Sinatra
The Birth Of The Blues by Frank Sinatra,The Birth of the Blues by Frank Sinatra
Englishman In New York by Sting,Englishman In New York by Sting
Englishman In New York by Sting,Englishman in New York by Sting
Concierto De Aranjuez by John Williams,Concierto De Aranjuez by John Williams
Concierto De Aranjuez by John Williams,Concierto de Aranjuez by John Williams
Harpsichord Concerto No. 1 in D minor by Johann Sebastian Bach,Harpsichord Concerto No. 1 in D minor by Johann Sebastian Bach
Harpsichord Concerto No. 1 in D minor by Johann Sebastian Bach,Harpsichord Concerto No. 1 in D Minor by Johann Sebastian Bach
Hell Is Round The Corner by Tricky,Hell Is Round The Corner by Tricky
Hell Is Round The Corner by Tricky,Hell is Round the Corner by Tricky
Where or When (from Babes In Arms) by Jack Hylton & His Orchestra,Where or When (from Babes In Arms) by Jack Hylton & His Orchestra
Where or When (from Babes In Arms) by Jack Hylton & His Orchestra,Where or When (from Babes in Arms) by Jack Hylton & His Orchestra
"You're The First, The Last, My Everything by Barry White","You're The First, The Last, My Everything by Barry White"
"You're The First, The Last, My Everything by Barry White","You're The first, The Last, My Everything by Barry White"
Where Is Love? by Keith Hamshere,Where Is Love? by Keith Hamshere
Where Is Love? by Keith Hamshere,Where is Love? by Keith Hamshere
In Party Mood by West End Celebrity Orchestra,In Party Mood by West End Celebrity Orchestra
In Party Mood by West End Celebrity Orchestra,In Party mood by West End Celebrity Orchestra
Roses Of Picardy by Alfred Piccaver,Roses Of Picardy by Alfred Piccaver
Roses Of Picardy by Alfred Piccaver,Roses of Picardy by Alfred Piccaver
A Visit To America by Dylan Thomas,A Visit To America by Dylan Thomas
A Visit To America by Dylan Thomas,A Visit to America by Dylan Thomas
The Rain In Spain by Rex Harrison & Julie Andrews,The Rain In Spain by Rex Harrison & Julie Andrews
The Rain In Spain by Rex Harrison & Julie Andrews,The Rain in Spain by Rex Harrison & Julie Andrews
The Boy In The Bubble by Paul Simon,The Boy In The Bubble by Paul Simon
The Boy In The Bubble by Paul Simon,The Boy in the Bubble by Paul Simon
The Love For Three Oranges by Sergei Prokofiev,The Love For Three Oranges by Sergei Prokofiev
The Love For Three Oranges by Sergei Prokofiev,The Love for Three Oranges by Sergei Prokofiev
Nessun dorma by Giacomo Puccini,Nessun dorma by Giacomo Puccini
Nessun dorma by Giacomo Puccini,Nessun Dorma by Giacomo Puccini
The Sound Of Silence by Simon & Garfunkel,The Sound Of Silence by Simon & Garfunkel
The Sound Of Silence by Simon & Garfunkel,The Sound of Silence by Simon & Garfunkel
Try A Little Tenderness by Otis Redding,Try A Little Tenderness by Otis Redding
Try A Little Tenderness by Otis Redding,Try a Little Tenderness by Otis Redding
Go Away From My Window by Marlene Dietrich,Go Away From My Window by Marlene Dietrich
Go Away From My Window by Marlene Dietrich,Go Away From my Window by Marlene Dietrich
Symphony No. 5 In C Sharp Minor by Gustav Mahler,Symphony No. 5 In C Sharp Minor by Gustav Mahler
Symphony No. 5 In C Sharp Minor by Gustav Mahler,Symphony No. 5 in C sharp minor by Gustav Mahler
Begin The Beguine by Leslie “Hutch” Hutchinson,Begin The Beguine by Leslie “Hutch” Hutchinson
Begin The Beguine by Leslie “Hutch” Hutchinson,Begin the Beguine by Leslie “Hutch” Hutchinson
"Top Hat, White Tie And Tails by Fred Astaire","Top Hat, White Tie And Tails by Fred Astaire"
"Top Hat, White Tie And Tails by Fred Astaire","Top Hat, White Tie and Tails by Fred Astaire"
Oh Look At Me by John Warner & Eleanor Drew,Oh Look At Me by John Warner & Eleanor Drew
Oh Look At Me by John Warner & Eleanor Drew,Oh Look at Me by Eleanor Drew & John Warner
Invitation To The Dance by Carl Maria von Weber,Invitation To The Dance by Carl Maria von Weber
Invitation To The Dance by Carl Maria von Weber,Invitation to the Dance by Carl Maria von Weber
Young At Heart by Frank Sinatra,Young At Heart by Frank Sinatra
Young At Heart by Frank Sinatra,Young at Heart by Frank Sinatra
Frédéric Chopin - Nocturne In E Flat Major,Frédéric Chopin - Nocturne In E Flat Major
Frédéric Chopin - Nocturne In E Flat Major,Frédéric Chopin - Nocturne in E Flat Major
I'm In A Dancing Mood by The Dave Brubeck Quartet,I'm In A Dancing Mood by The Dave Brubeck Quartet
I'm In A Dancing Mood by The Dave Brubeck Quartet,I'm in a Dancing Mood by The Dave Brubeck Quartet
Lady With The Braid by Dory Previn,Lady With The Braid by Dory Previn
Lady With The Braid by Dory Previn,Lady With the Braid by Dory Previn
Pencil Full Of Lead by Paolo Nutini,Pencil Full Of Lead by Paolo Nutini
Pencil Full Of Lead by Paolo Nutini,Pencil Full of Lead by Paolo Nutini
Symphony No. 5 in D minor by Dmitry Shostakovich,Symphony No. 5 in D minor by Dmitry Shostakovich
Symphony No. 5 in D minor by Dmitry Shostakovich,Symphony No. 5 In D Minor by Dmitry Shostakovich
The Things We Said Today by The Beatles,The Things We Said Today by The Beatles
The Things We Said Today by The Beatles,Things We Said Today by The Beatles
Only The Lonely by Frank Sinatra,Only The Lonely by Frank Sinatra
Only The Lonely by Frank Sinatra,Only the Lonely by Frank Sinatra
Fun Fun Fun by The Beach Boys,Fun Fun Fun by The Beach Boys
Fun Fun Fun by The Beach Boys,"Fun, Fun Fun by The Beach Boys"
City Of New Orleans by Willie Nelson,City Of New Orleans by Willie Nelson
City Of New Orleans by Willie Nelson,City of New Orleans by Willie Nelson
Solving The Riddle by Billy May's Big Fat Brass,Solving The Riddle by Billy May's Big Fat Brass
Solving The Riddle by Billy May's Big Fat Brass,Solving the Riddle by Billy May's Big Fat Brass
Don't Stop 'Til You Get Enough by Michael Jackson,Don't Stop 'Til You Get Enough by Michael Jackson
Don't Stop 'Til You Get Enough by Michael Jackson,Don't Stop 'til You Get Enough by Michael Jackson
This Is The One by The Stone Roses,This Is The One by The Stone Roses
This Is The One by The Stone Roses,This is the One by The Stone Roses
Air De La Lettre by Yvonne Printemps,Air De La Lettre by Yvonne Printemps
Air De La Lettre by Yvonne Printemps,Air de la Lettre by Yvonne Printemps
Once In Royal David's City by Alexander/Gauntlett,Once In Royal David's City by Alexander/Gauntlett
Once In Royal David's City by Alexander/Gauntlett,Once in Royal David's City by Alexander/Gauntlett
Piano Concerto No. 2 in G minor by Camille Saint‐Saëns,Piano Concerto No. 2 in G minor by Camille Saint‐Saëns
Piano Concerto No. 2 in G minor by Camille Saint‐Saëns,Piano Concerto No. 2 in G Minor by Camille Saint‐Saëns
I Try by Macy Gray,I Try by Macy Gray
I Try by Macy Gray,I try by Macy Gray
Adagio For Strings by Samuel Barber,Adagio For Strings by Samuel Barber
Adagio For Strings by Samuel Barber,Adagio for Strings by Samuel Barber
The Kid From Red Bank by Count Basie & His Orchestra,The Kid From Red Bank by Count Basie & His Orchestra
The Kid From Red Bank by Count Basie & His Orchestra,The Kid from Red Bank by Count Basie & His Orchestra
Pas De Deux by Peter Ilyich Tchaikovsky,Pas De Deux by Peter Ilyich Tchaikovsky
Pas De Deux by Peter Ilyich Tchaikovsky,Pas de Deux by Peter Ilyich Tchaikovsky
The Biggest Aspidistra in the World by Gracie Fields,The Biggest Aspidistra in the World by Gracie Fields
The Biggest Aspidistra in the World by Gracie Fields,The Biggest Aspidistra In The World by Gracie Fields
String Quartet in G minor by Claude Debussy,String Quartet in G minor by Claude Debussy
String Quartet in G minor by Claude Debussy,String Quartet in G Minor by Claude Debussy
As Time Goes By by Dooley Wilson,As Time Goes By by Dooley Wilson
As Time Goes By by Dooley Wilson,As time goes by by Dooley Wilson
Night and Day by Fred Astaire,Night and Day by Fred Astaire
Night and Day by Fred Astaire,Night And Day by Fred Astaire
Sad Eyed Lady of the Lowlands by Bob Dylan,Sad Eyed Lady of the Lowlands by Bob Dylan
Sad Eyed Lady of the Lowlands by Bob Dylan,Sad Eyed Lady Of The Lowlands by Bob Dylan
Strangers in the Night by Frank Sinatra,Strangers in the Night by Frank Sinatra
Strangers in the Night by Frank Sinatra,Strangers In The Night by Frank Sinatra
God Be In My Head by Templars Octet,God Be In My Head by Templars Octet
God Be In My Head by Templars Octet,God Be in My Head by Templars Octet
Dance With My Father by Luther Vandross,Dance With My Father by Luther Vandross
Dance With My Father by Luther Vandross,Dance with My Father by Luther Vandross
Shelter From The Storm by Bob Dylan,Shelter From The Storm by Bob Dylan
Shelter From The Storm by Bob Dylan,Shelter from the Storm by Bob Dylan
I'm The Guy Who Found The Lost Chord by Jimmy Durante,I'm The Guy Who Found The Lost Chord by Jimmy Durante
I'm The Guy Who Found The Lost Chord by Jimmy Durante,I'm the Guy Who Found the Lost Chord by Jimmy Durante
You've Got A Friend by James Taylor,You've Got A Friend by James Taylor
You've Got A Friend by James Taylor,You've Got a Friend by James Taylor
In A Mist by Bix Beiderbecke,In A Mist by Bix Beiderbecke
In A Mist by Bix Beiderbecke,In a Mist by Bix Beiderbecke
Catch A Falling Star by Perry Como,Catch A Falling Star by Perry Como
Catch A Falling Star by Perry Como,Catch a Falling Star by Perry Como
In A Monastery Garden by Albert Ketèlbey,In A Monastery Garden by Albert Ketèlbey
In A Monastery Garden by Albert Ketèlbey,In a Monastery Garden by Albert Ketèlbey
Suite for Solo Cello No. 1 in G major by Johann Sebastian Bach,Suite for Solo Cello No. 1 in G major by Johann Sebastian Bach
Suite for Solo Cello No. 1 in G major by Johann Sebastian Bach,Suite for Solo Cello No. 1 in G Major by Johann Sebastian Bach
The Last Time by The Rolling Stones,The Last Time by The Rolling Stones
The Last Time by The Rolling Stones,The last time by The Rolling Stones
Bali Ha'I by Juanita Hall,Bali Ha'I by Juanita Hall
Bali Ha'I by Juanita Hall,Bali Ha'i by Juanita Hall
I Don't Want To Play In Your Yard by Peggy Lee,I Don't Want To Play In Your Yard by Peggy Lee
I Don't Want To Play In Your Yard by Peggy Lee,I Don't Want to Play in Your Yard by Peggy Lee
Symphony No. 4 in G major by Gustav Mahler,Symphony No. 4 in G major by Gustav Mahler
Symphony No. 4 in G major by Gustav Mahler,Symphony No. 4 In G Major by Gustav Mahler
Der Abschied  (from Das Lied von der Erde) by Gustav Mahler,Der Abschied  (from Das Lied von der Erde) by Gustav Mahler
Der Abschied  (from Das Lied von der Erde) by Gustav Mahler,Der Abschied from Das Lied von der Erde by Gustav Mahler
On A Slow Boat To China by Maurice Chevalier,On A Slow Boat To China by Maurice Chevalier
On A Slow Boat To China by Maurice Chevalier,On A Slow Boat to China by Maurice Chevalier
Happy Days Are Here Again by Layton & Johnstone,Happy Days Are Here Again by Layton & Johnstone
Happy Days Are Here Again by Layton & Johnstone,Happy Days are Here Again by Layton & Johnstone
The Road To The Isles by Stuart Robertson,The Road To The Isles by Stuart Robertson
The Road To The Isles by Stuart Robertson,The Road to the Isles by Stuart Robertson
If The Heart Of A Man by Michael Redgrave,If The Heart Of A Man by Michael Redgrave
If The Heart Of A Man by Michael Redgrave,If the Heart of a Man by Michael Redgrave
The Boy With The Arab Strap by Belle and Sebastian,The Boy With The Arab Strap by Belle and Sebastian
The Boy With The Arab Strap by Belle and Sebastian,The Boy with the Arab Strap by Belle and Sebastian
Blue in Green by Charlie Parker's Reboppers,Blue in Green by Charlie Parker's Reboppers
Blue in Green by Charlie Parker's Reboppers,Blue In Green by Charlie Parker's Reboppers
Sous les Toits de Paris by Orchestre de Danse Alexander,Sous les Toits de Paris by Orchestre de Danse Alexander
Sous les Toits de Paris by Orchestre de Danse Alexander,Sous les toits de Paris by Orchestre de Danse Alexander
MacUshla by John McCormack,MacUshla by John McCormack
MacUshla by John McCormack,Macushla by John McCormack
Ode to Billie Joe by Bobbie Gentry,Ode to Billie Joe by Bobbie Gentry
Ode to Billie Joe by Bobbie Gentry,Ode To Billie Joe by Bobbie Gentry
Bourrée II by Johann Sebastian Bach,Bourrée II by Johann Sebastian Bach
Bourrée II by Johann Sebastian Bach,Bourrée Ii by Johann Sebastian Bach
You're My Best Friend by Queen,You're My Best Friend by Queen
You're My Best Friend by Queen,You're my best friend by Queen
Piano Concerto No. 1 in B flat minor by Peter Ilyich Tchaikovsky,Piano Concerto No. 1 in B flat minor by Peter Ilyich Tchaikovsky
Piano Concerto No. 1 in B flat minor by Peter Ilyich Tchaikovsky,Piano Concerto No. 1 in B Flat Minor by Peter Ilyich Tchaikovsky
Keep Right On To The End Of The Road by Sir Harry Lauder,Keep Right On To The End Of The Road by Sir Harry Lauder
Keep Right On To The End Of The Road by Sir Harry Lauder,Keep Right on to the End of the Road by Sir Harry Lauder
Journey Of The Magi by T. S. Eliot,Journey Of The Magi by T. S. Eliot
Journey Of The Magi by T. S. Eliot,Journey of the Magi by T. S. Eliot
Symphony No. 6 in B minor 'Pathétique' by Pyotr Ilyich Tchaikovsky,Symphony No. 6 in B minor 'Pathétique' by Pyotr Ilyich Tchaikovsky
Symphony No. 6 in B minor 'Pathétique' by Pyotr Ilyich Tchaikovsky,Pyotr Ilyich Tchaikovsky - Symphony No. 6 in B minor 'Pathétique' by Pyotr Ilyich Tchaikovsky
Memories Are Made of This by Dave King,Memories Are Made of This by Dave King
Memories Are Made of This by Dave King,Memories are Made of This by Dave King
Guide Me O Thou Great Redeemer (Cwm Rhondda) by John Hughes,Guide Me O Thou Great Redeemer (Cwm Rhondda) by John Hughes
Guide Me O Thou Great Redeemer (Cwm Rhondda) by John Hughes,"Cwm Rhondda (Guide Me, O Thou Great Redeemer) by John Hughes"
Saturday Night At The Movies by The Drifters,Saturday Night At The Movies by The Drifters
Saturday Night At The Movies by The Drifters,Saturday Night at the Movies by The Drifters
Down To Zero by Joan Armatrading,Down To Zero by Joan Armatrading
Down To Zero by Joan Armatrading,Down to Zero by Joan Armatrading
Land Of Hope And Glory by Edward Elgar,Land Of Hope And Glory by Edward Elgar
Land Of Hope And Glory by Edward Elgar,Land of Hope and Glory by Edward Elgar
This Is My Life by Shirley Bassey,This Is My Life by Shirley Bassey
This Is My Life by Shirley Bassey,This is My Life by Shirley Bassey
Cello Concerto in E minor - 3rd movement by Edward Elgar,Cello Concerto in E minor - 3rd movement by Edward Elgar
Cello Concerto in E minor - 3rd movement by Edward Elgar,Cello Concerto in E Minor - 3rd Movement by Edward Elgar
A Child's Christmas In Wales by Dylan Thomas,A Child's Christmas In Wales by Dylan Thomas
A Child's Christmas In Wales by Dylan Thomas,A Child's Christmas in Wales by Dylan Thomas
I'm A Vulture For Horticulture by Jimmy Durante,I'm A Vulture For Horticulture by Jimmy Durante
I'm A Vulture For Horticulture by Jimmy Durante,I'm a Vulture for Horticulture by Jimmy Durante
Tea For Two by Binnie Hale & Seymour Beard,Tea For Two by Binnie Hale & Seymour Beard
Tea For Two by Binnie Hale & Seymour Beard,Tea for Two by Binnie Hale & Seymour Beard
Battle Of New Orleans by Lonnie Donegan,Battle Of New Orleans by Lonnie Donegan
Battle Of New Orleans by Lonnie Donegan,Battle of New Orleans by Lonnie Donegan
Which Side Are You On? by Natalie Merchant,Which Side Are You On? by Natalie Merchant
Which Side Are You On? by Natalie Merchant,Which side Are You On? by Natalie Merchant
Try A Little Tenderness by Frank Sinatra,Try A Little Tenderness by Frank Sinatra
Try A Little Tenderness by Frank Sinatra,Try a Little Tenderness by Frank Sinatra
Symphony No. 5 in C sharp minor - 4th movement (Adagietto) by Gustav Mahler,Symphony No. 5 in C sharp minor - 4th movement (Adagietto) by Gustav Mahler
Symphony No. 5 in C sharp minor - 4th movement (Adagietto) by Gustav Mahler,Symphony No. 5 in C sharp minor- 4th movement (Adagietto) by Gustav Mahler
The Queen Is Dead by The Smiths,The Queen Is Dead by The Smiths
The Queen Is Dead by The Smiths,The Queen is Dead by The Smiths
Piano Concerto No. 1 in D minor by Johannes Brahms,Piano Concerto No. 1 in D minor by Johannes Brahms
Piano Concerto No. 1 in D minor by Johannes Brahms,Piano Concerto No. 1 in D Minor by Johannes Brahms
Tales Of Old Dartmoor by The Goons,Tales Of Old Dartmoor by The Goons
Tales Of Old Dartmoor by The Goons,Tales of Old Dartmoor by The Goons
Clarinet Quintet In B minor by Johannes Brahms,Clarinet Quintet In B minor by Johannes Brahms
Clarinet Quintet In B minor by Johannes Brahms,Clarinet Quintet In B Minor by Johannes Brahms
Cello Concerto in E Minor by Edward Elgar,Cello Concerto in E Minor by Edward Elgar
Cello Concerto in E Minor by Edward Elgar,Cello Concerto in E minor by Edward Elgar
"Well-tempered Clavier, Book 1 - Prelude & Fugue in C major by Johann Sebastian Bach","Well-tempered Clavier, Book 1 - Prelude & Fugue in C major by Johann Sebastian Bach"
"Well-tempered Clavier, Book 1 - Prelude & Fugue in C major by Johann Sebastian Bach","Well-Tempered Clavier, Book 1 - Prelude & Fugue in C major by Johann Sebastian Bach"
A Man Needs A Maid by Neil Young,A Man Needs A Maid by Neil Young
A Man Needs A Maid by Neil Young,A Man Needs a Maid by Neil Young
Brandenburg Concerto No. 2 in F major by Johann Sebastian Bach,Brandenburg Concerto No. 2 in F major by Johann Sebastian Bach
Brandenburg Concerto No. 2 in F major by Johann Sebastian Bach,Brandenburg Concerto No. 2 in F Major by Johann Sebastian Bach
Land of My Fathers by The Fron Male Voice Choir,Land of My Fathers by The Fron Male Voice Choir
Land of My Fathers by The Fron Male Voice Choir,Land Of My Fathers by The Fron Male Voice Choir
Clarinet a la King by Benny Goodman and His Orchestra,Clarinet a la King by Benny Goodman and His Orchestra
Clarinet a la King by Benny Goodman and His Orchestra,Clarinet A La King by Benny Goodman and His Orchestra
Never On Sunday by Manos Hadjidakis,Never On Sunday by Manos Hadjidakis
Never On Sunday by Manos Hadjidakis,Never on Sunday by Manos Hadjidakis
Violin Concerto in D major by Johannes Brahms,Violin Concerto in D major by Johannes Brahms
Violin Concerto in D major by Johannes Brahms,Violin Concerto in D Major by Johannes Brahms
Shall I Compare Thee to a Summers Day? (Sonnet 18) by William Shakespeare,Shall I Compare Thee to a Summers Day? (Sonnet 18) by William Shakespeare
Shall I Compare Thee to a Summers Day? (Sonnet 18) by William Shakespeare,Shall I Compare Thee to a Summer's Day? (Sonnet 18) by William Shakespeare
This is My Lovely Day by Georges Guetary & Lizbeth Webb,This is My Lovely Day by Georges Guetary & Lizbeth Webb
This is My Lovely Day by Georges Guetary & Lizbeth Webb,This Is My Lovely Day by Georges Guetary & Lizbeth Webb
J'Attendrai by Tino Rossi,J'Attendrai by Tino Rossi
J'Attendrai by Tino Rossi,J'attendrai by Tino Rossi
Once in a Lifetime by Talking Heads,Once in a Lifetime by Talking Heads
Once in a Lifetime by Talking Heads,Once In A Lifetime by Talking Heads
A Whiter Shade Of Pale by Procol Harum,A Whiter Shade Of Pale by Procol Harum
A Whiter Shade Of Pale by Procol Harum,A Whiter Shade of Pale by Procol Harum
I know that my Redeemer liveth (from Messiah) by George Frideric Handel,I know that my Redeemer liveth (from Messiah) by George Frideric Handel
I know that my Redeemer liveth (from Messiah) by George Frideric Handel,I Know That My Redeemer Liveth (from Messiah) by George Frideric Handel
Horn Concerto No. 3 in E flat major by Wolfgang Amadeus Mozart,Horn Concerto No. 3 in E flat major by Wolfgang Amadeus Mozart
Horn Concerto No. 3 in E flat major by Wolfgang Amadeus Mozart,Horn Concerto No. 3 in E Flat Major by Wolfgang Amadeus Mozart
She's Funny That Way by Ted Lewis and His Band,She's Funny That Way by Ted Lewis and His Band
She's Funny That Way by Ted Lewis and His Band,She's Funny that Way by Ted Lewis and His Band
A Nightingale Sang In Berkeley Square by Vera Lynn,A Nightingale Sang In Berkeley Square by Vera Lynn
A Nightingale Sang In Berkeley Square by Vera Lynn,A Nightingale Sang in Berkeley Square by Vera Lynn
Fugue in D minor by Johann Sebastian Bach,Fugue in D minor by Johann Sebastian Bach
Fugue in D minor by Johann Sebastian Bach,Fugue in D Minor by Johann Sebastian Bach
"Blowin' In The Wind by Peter, Paul & Mary","Blowin' In The Wind by Peter, Paul & Mary"
"Blowin' In The Wind by Peter, Paul & Mary","Blowin' in the Wind by Peter, Paul & Mary"
The Garden Of Fand by Arnold Bax,The Garden Of Fand by Arnold Bax
The Garden Of Fand by Arnold Bax,The Garden of Fand by Arnold Bax
Chi il bel sogno di Doretta (from La Rondine) by Giacomo Puccini,Chi il bel sogno di Doretta (from La Rondine) by Giacomo Puccini
Chi il bel sogno di Doretta (from La Rondine) by Giacomo Puccini,Chi Il Bel Sogno di Doretta from La Rondine by Giacomo Puccini
Both Sides Now by Joni Mitchell,Both Sides Now by Joni Mitchell
Both Sides Now by Joni Mitchell,"Both Sides, Now by Joni Mitchell"
Singin' The Blues by Bix Beiderbecke,Singin' The Blues by Bix Beiderbecke
Singin' The Blues by Bix Beiderbecke,Singin' the Blues by Bix Beiderbecke
A Case Of You by Joni Mitchell,A Case Of You by Joni Mitchell
A Case Of You by Joni Mitchell,A Case of You by Joni Mitchell
The Black Hills Of Dakota by Doris Day,The Black Hills Of Dakota by Doris Day
The Black Hills Of Dakota by Doris Day,The Black Hills of Dakota by Doris Day
Piano Concerto No. 4 In G major by Ludwig van Beethoven,Piano Concerto No. 4 In G major by Ludwig van Beethoven
Piano Concerto No. 4 In G major by Ludwig van Beethoven,Piano Concerto No. 4 In G Major by Ludwig van Beethoven
Mass in B minor - Sanctus by Johann Sebastian Bach,Mass in B minor - Sanctus by Johann Sebastian Bach
Mass in B minor - Sanctus by Johann Sebastian Bach,Mass in B minor  - Sanctus by Johann Sebastian Bach
Plaisir D'Amour by Maggie Teyte & Gerald Moore,Plaisir D'Amour by Maggie Teyte & Gerald Moore
Plaisir D'Amour by Maggie Teyte & Gerald Moore,Plaisir d'Amour by Maggie Teyte & Gerald Moore
Concierto De Aranjuez by Miles Davis,Concierto De Aranjuez by Miles Davis
Concierto De Aranjuez by Miles Davis,Concierto de Aranjuez by Miles Davis
Goldberg Variations - Aria by Johann Sebastian Bach,Goldberg Variations - Aria by Johann Sebastian Bach
Goldberg Variations - Aria by Johann Sebastian Bach,Goldberg variations - Aria by Johann Sebastian Bach
"My Love Is Like A Red, Red Rose by Robert Burns","My Love Is Like A Red, Red Rose by Robert Burns"
"My Love Is Like A Red, Red Rose by Robert Burns",My Love is Like a Red Red Rose by Robert Burns
Something About The Way You Look Tonight by Elton John,Something About The Way You Look Tonight by Elton John
Something About The Way You Look Tonight by Elton John,Something About the Way You Look Tonight by Elton John
Lullaby Of Broadway by Ella Fitzgerald,Lullaby Of Broadway by Ella Fitzgerald
Lullaby Of Broadway by Ella Fitzgerald,Lullaby of Broadway by Ella Fitzgerald
Piano Concerto No. 4 In G Minor by Sergey Rachmaninov,Piano Concerto No. 4 In G Minor by Sergey Rachmaninov
Piano Concerto No. 4 In G Minor by Sergey Rachmaninov,Piano Concerto No. 4 In G minor by Sergey Rachmaninov
New Kid In Town by Eagles,New Kid In Town by Eagles
New Kid In Town by Eagles,New Kid in Town by Eagles
One For My Baby by Frank Sinatra,One For My Baby by Frank Sinatra
One For My Baby by Frank Sinatra,One for My Baby by Frank Sinatra
Dancing In The Moonlight by Toploader,Dancing In The Moonlight by Toploader
Dancing In The Moonlight by Toploader,Dancing in the Moonlight by Toploader
Fly Me to the Moon by Frank Sinatra,Fly Me to the Moon by Frank Sinatra
Fly Me to the Moon by Frank Sinatra,Fly Me to The Moon by Frank Sinatra
Piano Concerto No. 1 in B Flat Minor by Pyotr Ilyich Tchaikovsky,Piano Concerto No. 1 in B Flat Minor by Pyotr Ilyich Tchaikovsky
Piano Concerto No. 1 in B Flat Minor by Pyotr Ilyich Tchaikovsky,Piano Concerto No. 1 in B flat minor by Pyotr Ilyich Tchaikovsky
We Have All The Time In The World by Louis Armstrong,We Have All The Time In The World by Louis Armstrong
We Have All The Time In The World by Louis Armstrong,We Have All the Time in the World by Louis Armstrong
House Of The Rising Sun by The Animals,House Of The Rising Sun by The Animals
House Of The Rising Sun by The Animals,House of the Rising Sun by The Animals
Life Is Just A Bowl Of Cherries by The Hi‐Lo’s,Life Is Just A Bowl Of Cherries by The Hi‐Lo’s
Life Is Just A Bowl Of Cherries by The Hi‐Lo’s,Life is Just a Bowl of Cherries by The Hi‐Lo’s
Mad Scene (from Lucia Di Lammermoor) by Gaetano Donizetti,Mad Scene (from Lucia Di Lammermoor) by Gaetano Donizetti
Mad Scene (from Lucia Di Lammermoor) by Gaetano Donizetti,Mad Scene (from Lucia di Lammermoor) by Gaetano Donizetti
Wonderful Tonight by Eric Clapton,Wonderful Tonight by Eric Clapton
Wonderful Tonight by Eric Clapton,Wonderful tonight by Eric Clapton
The Last Rose Of Summer by Ada Alsop,The Last Rose Of Summer by Ada Alsop
The Last Rose Of Summer by Ada Alsop,The Last Rose of Summer by Ada Alsop
Nobody Knows You When You're Down and Out by Bessie Smith,Nobody Knows You When You're Down and Out by Bessie Smith
Nobody Knows You When You're Down and Out by Bessie Smith,Nobody Knows You When You're Down And Out by Bessie Smith
Les Trois Cloches,Les Trois Cloches
Les Trois Cloches,Les trois cloches
Magnificat In G by King's College Chapel Choir,Magnificat In G by King's College Chapel Choir
Magnificat In G by King's College Chapel Choir,Magnificat in G by King's College Chapel Choir
Sur le Pont D'Avignon by Jean Sablon,Sur le Pont D'Avignon by Jean Sablon
Sur le Pont D'Avignon by Jean Sablon,Sur Le Pont D'Avignon by Jean Sablon
Canon in D major by Johann Pachelbel,Canon in D major by Johann Pachelbel
Canon in D major by Johann Pachelbel,Canon in D Major by Johann Pachelbel
Rose's Turn by Ethel Merman,Rose's Turn by Ethel Merman
Rose's Turn by Ethel Merman,Rose's turn by Ethel Merman
What's Going On? by Marvin Gaye,What's Going On? by Marvin Gaye
What's Going On? by Marvin Gaye,Whats Going On by Marvin Gaye
La Vie En Rose by Marlene Dietrich,La Vie En Rose by Marlene Dietrich
La Vie En Rose by Marlene Dietrich,La Vie en Rose by Marlene Dietrich
Mass in B Minor - Cum sancto spiritu by Johann Sebastian Bach,Mass in B Minor - Cum sancto spiritu by Johann Sebastian Bach
Mass in B Minor - Cum sancto spiritu by Johann Sebastian Bach,Mass in B minor  - Cum sancto spiritu by Johann Sebastian Bach
A Nightingale Sang In Berkeley Square by Frank Sinatra,A Nightingale Sang In Berkeley Square by Frank Sinatra
A Nightingale Sang In Berkeley Square by Frank Sinatra,A Nightingale Sang in Berkeley Square by Frank Sinatra
Violin Concerto No. 2 in G Minor by Sergei Prokofiev,Violin Concerto No. 2 in G Minor by Sergei Prokofiev
Violin Concerto No. 2 in G Minor by Sergei Prokofiev,Violin Concerto No. 2 in G minor by Sergei Prokofiev
Come Rain Or Come Shine by Frank Sinatra,Come Rain Or Come Shine by Frank Sinatra
Come Rain Or Come Shine by Frank Sinatra,Come Rain or Come Shine by Frank Sinatra
Love Reign O'er Me by The Who,Love Reign O'er Me by The Who
Love Reign O'er Me by The Who,"Love, Reign O'er Me by The Who"
Blue in Green by Miles Davis,Blue in Green by Miles Davis
Blue in Green by Miles Davis,Blue In Green by Miles Davis
Fantasia on British Sea Songs by Henry Wood,Fantasia on British Sea Songs by Henry Wood
Fantasia on British Sea Songs by Henry Wood,Fantasia On British Sea Songs by Henry Wood
There But For Fortune by Joan Baez,There But For Fortune by Joan Baez
There But For Fortune by Joan Baez,There But for Fortune by Joan Baez
The Marriage Of Figaro Act 2 Finale by Wolfgang Amadeus Mozart,The Marriage Of Figaro Act 2 Finale by Wolfgang Amadeus Mozart
The Marriage Of Figaro Act 2 Finale by Wolfgang Amadeus Mozart,The Marriage of Figaro Act 2 Finale by Wolfgang Amadeus Mozart
