transformed_value,cluster_value
Symphony No. 4 In B Flat Major by Ludwig van Beethoven,Symphony No. 4 in B flat major by Ludwig van Beethoven
Symphony No. 4 In B Flat Major by Ludwig van Beethoven,Symphony No.  4 in B flat major by Ludwig van Beethoven
Fields Of Gold by Sting,Fields Of Gold by Sting
Fields Of Gold by Sting,Fields of Gold by Sting
Fields Of Gold by Sting,Fields of gold by Sting
Passacaglia and Fugue in C Minor by Johann Sebastian Bach,Passacaglia and Fugue in C Minor by Johann Sebastian Bach
Passacaglia and Fugue in C Minor by Johann Sebastian Bach,Passacaglia and Fugue In C Minor by Johann Sebastian Bach
Passacaglia and Fugue in C Minor by Johann Sebastian Bach,Passacaglia and Fugue in C minor by Johann Sebastian Bach
On Hearing The First Cuckoo In Spring by Frederick Delius,On Hearing The First Cuckoo In Spring by Frederick Delius
On Hearing The First Cuckoo In Spring by Frederick Delius,On Hearing the First Cuckoo in Spring by Frederick Delius
On Hearing The First Cuckoo In Spring by Frederick Delius,On Hearing The First Cuckoo in Spring by Frederick Delius
Wind Beneath My Wings by Bette Midler,Wind Beneath My Wings by Bette Midler
Wind Beneath My Wings by Bette Midler,Wind Beneath my Wings by Bette Midler
Wind Beneath My Wings by Bette Midler,Wind beneath my wings by Bette Midler
Sinfonia Concertante in E flat major by Wolfgang Amadeus Mozart,Sinfonia Concertante in E flat major by Wolfgang Amadeus Mozart
Sinfonia Concertante in E flat major by Wolfgang Amadeus Mozart,Sinfonia Concertante In E Flat Major by Wolfgang Amadeus Mozart
Sinfonia Concertante in E flat major by Wolfgang Amadeus Mozart,Sinfonia Concertante in E Flat Major by Wolfgang Amadeus Mozart
The Lord is My Shepherd by Glasgow Orpheus Choir,The Lord is My Shepherd by Glasgow Orpheus Choir
The Lord is My Shepherd by Glasgow Orpheus Choir,The Lord Is My Shepherd by Glasgow Orpheus Choir
The Lord is My Shepherd by Glasgow Orpheus Choir,The Lord is my Shepherd by Glasgow Orpheus Choir
"This Was Their Finest Hour (speech, 18 June 1940) by Winston Churchill","This Was Their Finest Hour (speech, 18 June 1940) by Winston Churchill"
"This Was Their Finest Hour (speech, 18 June 1940) by Winston Churchill","This was their Finest Hour (speech, 18 June 1940) by Winston Churchill"
"This Was Their Finest Hour (speech, 18 June 1940) by Winston Churchill","This was Their Finest Hour (speech, 18 June 1940) by Winston Churchill"
E Lucevan Le Stelle (from Tosca) by Giacomo Puccini,E Lucevan Le Stelle (from Tosca) by Giacomo Puccini
E Lucevan Le Stelle (from Tosca) by Giacomo Puccini,E lucevan le stelle (from Tosca) by Giacomo Puccini
E Lucevan Le Stelle (from Tosca) by Giacomo Puccini,E Lucevan le Stelle (from Tosca) by Giacomo Puccini
In The Wee Small Hours Of The Morning by Frank Sinatra,In The Wee Small Hours Of The Morning by Frank Sinatra
In The Wee Small Hours Of The Morning by Frank Sinatra,In the Wee Small Hours of the Morning by Frank Sinatra
In The Wee Small Hours Of The Morning by Frank Sinatra,In The Wee Small Hours of the Morning by Frank Sinatra
The trumpet shall sound (from Messiah) by George Frideric Handel,The trumpet shall sound (from Messiah) by George Frideric Handel
The trumpet shall sound (from Messiah) by George Frideric Handel,The Trumpet Shall Sound (from Messiah) by George Frideric Handel
The trumpet shall sound (from Messiah) by George Frideric Handel,The Trumpet Shall Sound from Messiah by George Frideric Handel
Love Is Here To Stay by Ella Fitzgerald,Love Is Here To Stay by Ella Fitzgerald
Love Is Here To Stay by Ella Fitzgerald,Love is Here to Stay by Ella Fitzgerald
Love Is Here To Stay by Ella Fitzgerald,Love is here to Stay by Ella Fitzgerald
Spem In Alium by Thomas Tallis,Spem In Alium by Thomas Tallis
Spem In Alium by Thomas Tallis,Spem in Alium by Thomas Tallis
Spem In Alium by Thomas Tallis,Spem in alium by Thomas Tallis
Symphony No. 7 in A major by Ludwig van Beethoven,Symphony No. 7 in A major by Ludwig van Beethoven
Symphony No. 7 in A major by Ludwig van Beethoven,Symphony No. 7 In A Major by Ludwig van Beethoven
Symphony No. 7 in A major by Ludwig van Beethoven,Symphony No. 7 in A Major by Ludwig van Beethoven
Ne Me Quitte Pas by Jacques Brel,Ne Me Quitte Pas by Jacques Brel
Ne Me Quitte Pas by Jacques Brel,Ne me Quitte Pas by Jacques Brel
Ne Me Quitte Pas by Jacques Brel,Ne me quitte pas by Jacques Brel
Fantasia On A Theme By Thomas Tallis by Ralph Vaughan Williams,Fantasia On A Theme By Thomas Tallis by Ralph Vaughan Williams
Fantasia On A Theme By Thomas Tallis by Ralph Vaughan Williams,Fantasia on a Theme by Thomas Tallis by Ralph Vaughan Williams
Fantasia On A Theme By Thomas Tallis by Ralph Vaughan Williams,Ralph Vaughan Williams - Fantasia on a Theme by Thomas Tallis by Ralph Vaughan Williams
(Everything I Do) I Do It For You by Bryan Adams,(Everything I Do) I Do It For You by Bryan Adams
(Everything I Do) I Do It For You by Bryan Adams,(Everything I do) I Do It For You by Bryan Adams
(Everything I Do) I Do It For You by Bryan Adams,(Everything I do) I Do it For You by Bryan Adams
"My Love is Like a Red, Red Rose by Kenneth McKellar","My Love is Like a Red, Red Rose by Kenneth McKellar"
"My Love is Like a Red, Red Rose by Kenneth McKellar","My Love Is Like A Red, Red Rose by Kenneth McKellar"
"My Love is Like a Red, Red Rose by Kenneth McKellar","My Love is Like A Red, Red Rose by Kenneth McKellar"
Fear No More the Heat O' the Sun (from Cymbeline) by William Shakespeare,Fear No More the Heat O' the Sun (from Cymbeline) by William Shakespeare
Fear No More the Heat O' the Sun (from Cymbeline) by William Shakespeare,Fear No More The Heat O' The Sun (from Cymbeline) by William Shakespeare
Fear No More the Heat O' the Sun (from Cymbeline) by William Shakespeare,Fear no more the heat o' the sun (from Cymbeline) by William Shakespeare
Shadows on the Grass by Irene Handl & Peter Sellers,Shadows on the Grass by Irene Handl & Peter Sellers
Shadows on the Grass by Irene Handl & Peter Sellers,Shadows On The Grass by Irene Handl & Peter Sellers
Piano Concerto No. 2 in C minor by Sergey Rachmaninov,Piano Concerto No. 2 in C minor by Sergey Rachmaninov
Piano Concerto No. 2 in C minor by Sergey Rachmaninov,Piano Concerto No. 2 in C Minor by Sergey Rachmaninov
This Woman's Work by Kate Bush,This Woman's Work by Kate Bush
This Woman's Work by Kate Bush,This Woman's work by Kate Bush
A Little Of What You Fancy Does You Good by Marie Lloyd,A Little Of What You Fancy Does You Good by Marie Lloyd
A Little Of What You Fancy Does You Good by Marie Lloyd,A Little of What You Fancy Does You Good by Marie Lloyd
Someday My Heart Will Awake (from Kings Rhapsody) by Vanessa Lee,Someday My Heart Will Awake (from Kings Rhapsody) by Vanessa Lee
Someday My Heart Will Awake (from Kings Rhapsody) by Vanessa Lee,Someday my heart will awake (from King's Rhapsody) by Vanessa Lee
At The Woodchopper's Ball by Woody Herman and His Orchestra,At The Woodchopper's Ball by Woody Herman and His Orchestra
At The Woodchopper's Ball by Woody Herman and His Orchestra,At the Woodchopper's Ball by Woody Herman and His Orchestra
The Turn Of The Screw by Benjamin Britten,The Turn Of The Screw by Benjamin Britten
The Turn Of The Screw by Benjamin Britten,The Turn of the Screw by Benjamin Britten
The Yeoman Of England by Peter Glossop,The Yeoman Of England by Peter Glossop
The Yeoman Of England by Peter Glossop,The Yeoman of England by Peter Glossop
Fugue On Bop Themes by The Dave Brubeck Octet,Fugue On Bop Themes by The Dave Brubeck Octet
Fugue On Bop Themes by The Dave Brubeck Octet,Fugue on Bop Themes by The Dave Brubeck Octet
A Change Is Gonna Come by Sam Cooke,A Change Is Gonna Come by Sam Cooke
A Change Is Gonna Come by Sam Cooke,A Change is Gonna Come by Sam Cooke
Alfred Drake & Joan Roberts - People Will Say We're In Love,Alfred Drake & Joan Roberts - People Will Say We're In Love
Alfred Drake & Joan Roberts - People Will Say We're In Love,Alfred Drake & Joan Roberts - People Will Say We're in Love
Vissi d'arte (from Tosca) by Giacomo Puccini,Vissi d'arte (from Tosca) by Giacomo Puccini
Vissi d'arte (from Tosca) by Giacomo Puccini,Vissi D'Arte (from Tosca) by Giacomo Puccini
Take On Me by a‐ha,Take On Me by a‐ha
Take On Me by a‐ha,Take on Me by a‐ha
Tales from the Vienna Woods,Tales from the Vienna Woods
Tales from the Vienna Woods,Tales From The Vienna Woods
String Quartet in F Major by Maurice Ravel,String Quartet in F Major by Maurice Ravel
String Quartet in F Major by Maurice Ravel,String Quartet in F major by Maurice Ravel
Piano Quintet in A major 'Trout' - 4th movement by Franz Schubert,Piano Quintet in A major 'Trout' - 4th movement by Franz Schubert
Piano Quintet in A major 'Trout' - 4th movement by Franz Schubert,Piano Quintet in A major 'Trout' - 4th Movement by Franz Schubert
Brandenburg Concerto No. 3 in G major by Johann Sebastian Bach,Brandenburg Concerto No. 3 in G major by Johann Sebastian Bach
Brandenburg Concerto No. 3 in G major by Johann Sebastian Bach,Brandenburg Concerto No. 3 in G Major by Johann Sebastian Bach
Last Train To San Fernando by Johnny Duncan & His Bluegrass Boys,Last Train To San Fernando by Johnny Duncan & His Bluegrass Boys
Last Train To San Fernando by Johnny Duncan & His Bluegrass Boys,Last Train to San Fernando by Johnny Duncan & His Bluegrass Boys
Don't Cry For Me Argentina by Elaine Paige,Don't Cry For Me Argentina by Elaine Paige
Don't Cry For Me Argentina by Elaine Paige,Don't Cry for Me Argentina by Elaine Paige
There Are Bad Times Just Around the Corner by Noël Coward,There Are Bad Times Just Around the Corner by Noël Coward
There Are Bad Times Just Around the Corner by Noël Coward,There are Bad Times Just Around the Corner by Noël Coward
Animal Crackers in My Soup by Shirley Temple,Animal Crackers in My Soup by Shirley Temple
Animal Crackers in My Soup by Shirley Temple,Animal Crackers in my Soup by Shirley Temple
You Can't Keep A Good Dreamer Down by Sid Field,You Can't Keep A Good Dreamer Down by Sid Field
You Can't Keep A Good Dreamer Down by Sid Field,You Can't Keep a Good Dreamer Down by Sid Field
Cavalleria Rusticana by Pietro Mascagni,Cavalleria Rusticana by Pietro Mascagni
Cavalleria Rusticana by Pietro Mascagni,Cavalleria rusticana by Pietro Mascagni
One Moment in Time by Whitney Houston,One Moment in Time by Whitney Houston
One Moment in Time by Whitney Houston,One Moment In Time by Whitney Houston
Anarchy in the UK by Sex Pistols,Anarchy in the UK by Sex Pistols
Anarchy in the UK by Sex Pistols,Anarchy In The UK by Sex Pistols
Piano Concerto in G Major by Maurice Ravel,Piano Concerto in G Major by Maurice Ravel
Piano Concerto in G Major by Maurice Ravel,Piano Concerto in G major by Maurice Ravel
I Get A Kick Out Of You by Ethel Merman,I Get A Kick Out Of You by Ethel Merman
I Get A Kick Out Of You by Ethel Merman,I Get a Kick Out of You by Ethel Merman
Down to the River to Pray by Alison Krauss,Down to the River to Pray by Alison Krauss
Down to the River to Pray by Alison Krauss,Down To The River To Pray by Alison Krauss
On the Trail by NBC Symphony Orchestra,On the Trail by NBC Symphony Orchestra
On the Trail by NBC Symphony Orchestra,On The Trail by NBC Symphony Orchestra
Dite alla giovine (from La Traviata) by Giuseppe Verdi,Dite alla giovine (from La Traviata) by Giuseppe Verdi
Dite alla giovine (from La Traviata) by Giuseppe Verdi,Dite alla giovine (from La traviata) by Giuseppe Verdi
Symphony in D Minor by César Franck,Symphony in D Minor by César Franck
Symphony in D Minor by César Franck,Symphony In D Minor by César Franck
Bless This House by Webster Booth,Bless This House by Webster Booth
Bless This House by Webster Booth,Bless this House by Webster Booth
Georgia On My Mind by Ray Charles,Georgia On My Mind by Ray Charles
Georgia On My Mind by Ray Charles,Georgia on my Mind by Ray Charles
Get Me to the Church on Time by Stanley Holloway,Get Me to the Church on Time by Stanley Holloway
Get Me to the Church on Time by Stanley Holloway,Get Me To The Church On Time by Stanley Holloway
Just One Of Those Things by Frank Sinatra,Just One Of Those Things by Frank Sinatra
Just One Of Those Things by Frank Sinatra,Just One of Those Things by Frank Sinatra
"Right, Said Fred by Bernard Cribbins","Right, Said Fred by Bernard Cribbins"
"Right, Said Fred by Bernard Cribbins",Right Said Fred by Bernard Cribbins
And Her Mother Came Too by Jack Buchanan,And Her Mother Came Too by Jack Buchanan
And Her Mother Came Too by Jack Buchanan,And her Mother Came Too by Jack Buchanan
Brandenburg Concerto No. 1 in F Major by Johann Sebastian Bach,Brandenburg Concerto No. 1 in F Major by Johann Sebastian Bach
Brandenburg Concerto No. 1 in F Major by Johann Sebastian Bach,Brandenburg Concerto No. 1 in F major by Johann Sebastian Bach
Love And Affection by Joan Armatrading,Love And Affection by Joan Armatrading
Love And Affection by Joan Armatrading,Love and Affection by Joan Armatrading
What A Wonderful World by Louis Armstrong,What A Wonderful World by Louis Armstrong
What A Wonderful World by Louis Armstrong,What a Wonderful World by Louis Armstrong
Happy Days Are Here Again by Jack Hylton & His Orchestra,Happy Days Are Here Again by Jack Hylton & His Orchestra
Happy Days Are Here Again by Jack Hylton & His Orchestra,Happy Days are Here Again by Jack Hylton & His Orchestra
Mull Of Kintyre by Wings,Mull Of Kintyre by Wings
Mull Of Kintyre by Wings,Mull of Kintyre by Wings
(Sittin' On) The Dock of the Bay by Otis Redding,(Sittin' On) The Dock of the Bay by Otis Redding
(Sittin' On) The Dock of the Bay by Otis Redding,(Sittin' On) The Dock of The Bay by Otis Redding
Always on My Mind by Willie Nelson,Always on My Mind by Willie Nelson
Always on My Mind by Willie Nelson,Always On My Mind by Willie Nelson
A String Of Pearls by The Glenn Miller Orchestra,A String Of Pearls by The Glenn Miller Orchestra
A String Of Pearls by The Glenn Miller Orchestra,A String of Pearls by The Glenn Miller Orchestra
Have I Told You Lately by Van Morrison,Have I Told You Lately by Van Morrison
Have I Told You Lately by Van Morrison,Have I told you lately? by Van Morrison
Meditations on a theme by John Blow by Arthur Bliss,Meditations on a theme by John Blow by Arthur Bliss
Meditations on a theme by John Blow by Arthur Bliss,Meditations On A Theme By John Blow by Arthur Bliss
Introducing Tobacco To Civilisation by Bob Newhart,Introducing Tobacco To Civilisation by Bob Newhart
Introducing Tobacco To Civilisation by Bob Newhart,Introducing Tobacco to Civilisation by Bob Newhart
Cello Concerto in A Minor by Robert Schumann,Cello Concerto in A Minor by Robert Schumann
Cello Concerto in A Minor by Robert Schumann,Cello Concerto in A minor by Robert Schumann
Harpsichord Concerto No. 5 In F Minor by Johann Sebastian Bach,Harpsichord Concerto No. 5 In F Minor by Johann Sebastian Bach
Harpsichord Concerto No. 5 In F Minor by Johann Sebastian Bach,Harpsichord Concerto No. 5 in F Minor by Johann Sebastian Bach
Piano Trio In D Minor by Felix Mendelssohn,Piano Trio In D Minor by Felix Mendelssohn
Piano Trio In D Minor by Felix Mendelssohn,Piano Trio in D minor by Felix Mendelssohn
Now Sleeps The Crimson Petal by Kathleen Ferrier & Phyllis Spurr,Now Sleeps The Crimson Petal by Kathleen Ferrier & Phyllis Spurr
Now Sleeps The Crimson Petal by Kathleen Ferrier & Phyllis Spurr,Now Sleeps the Crimson Petal by Kathleen Ferrier & Phyllis Spurr
Symphony No. 1 in E minor by Jean Sibelius,Symphony No. 1 in E minor by Jean Sibelius
Symphony No. 1 in E minor by Jean Sibelius,Symphony No. 1 in E Minor by Jean Sibelius
Clair De Lune by Claude Debussy,Clair De Lune by Claude Debussy
Clair De Lune by Claude Debussy,Clair de Lune by Claude Debussy
The Carnival is Over by The Seekers,The Carnival is Over by The Seekers
The Carnival is Over by The Seekers,The Carnival Is Over by The Seekers
Gentle On My Mind by Dean Martin,Gentle On My Mind by Dean Martin
Gentle On My Mind by Dean Martin,Gentle on my Mind by Dean Martin
Brothers In Arms by Dire Straits,Brothers In Arms by Dire Straits
Brothers In Arms by Dire Straits,Brothers in Arms by Dire Straits
Cello Concerto in B Minor by Antonín Dvořák,Cello Concerto in B Minor by Antonín Dvořák
Cello Concerto in B Minor by Antonín Dvořák,Cello Concerto in B minor by Antonín Dvořák
The Lake Isle Of Innisfree by William Butler Yeats,The Lake Isle Of Innisfree by William Butler Yeats
The Lake Isle Of Innisfree by William Butler Yeats,The Lake Isle of Innisfree by William Butler Yeats
Just Like A Woman by Bob Dylan,Just Like A Woman by Bob Dylan
Just Like A Woman by Bob Dylan,Just Like a Woman by Bob Dylan
The Barren Rocks Of Aden by The Pipes and Drums of the Black Watch,The Barren Rocks Of Aden by The Pipes and Drums of the Black Watch
The Barren Rocks Of Aden by The Pipes and Drums of the Black Watch,The Barren Rocks of Aden by The Pipes and Drums of the Black Watch
Samba Pa Ti by Santana,Samba Pa Ti by Santana
Samba Pa Ti by Santana,Samba Pa ti by Santana
Symphony No. 8 in F major by Ludwig van Beethoven,Symphony No. 8 in F major by Ludwig van Beethoven
Symphony No. 8 in F major by Ludwig van Beethoven,Symphony No. 8 In F Major by Ludwig van Beethoven
Piano Trio In A Minor by Maurice Ravel,Piano Trio In A Minor by Maurice Ravel
Piano Trio In A Minor by Maurice Ravel,Piano Trio in A minor by Maurice Ravel
Song of the Plains by Alexandrov Song & Dance Ensemble,Song of the Plains by Alexandrov Song & Dance Ensemble
Song of the Plains by Alexandrov Song & Dance Ensemble,Song Of The Plains by Alexandrov Song & Dance Ensemble
J'Attendrai by Jean Sablon,J'Attendrai by Jean Sablon
J'Attendrai by Jean Sablon,J'attendrai by Jean Sablon
It Was A Very Good Year by Frank Sinatra,It Was A Very Good Year by Frank Sinatra
It Was A Very Good Year by Frank Sinatra,It was a Very Good Year by Frank Sinatra
"Toccata, Adagio and Fugue in C Major by Johann Sebastian Bach","Toccata, Adagio and Fugue in C Major by Johann Sebastian Bach"
"Toccata, Adagio and Fugue in C Major by Johann Sebastian Bach","Toccata, Adagio and Fugue in C major by Johann Sebastian Bach"
Melville Gideon Medley by Melville Gideon With His Orchestra,Melville Gideon Medley by Melville Gideon With His Orchestra
Melville Gideon Medley by Melville Gideon With His Orchestra,Melville Gideon Medley by Melville Gideon with his Orchestra
"Piano Sonata No. 8 in C minor, Op. 13 'Pathétique' by Ludwig van Beethoven","Piano Sonata No. 8 in C minor, Op. 13 'Pathétique' by Ludwig van Beethoven"
"Piano Sonata No. 8 in C minor, Op. 13 'Pathétique' by Ludwig van Beethoven","Ludwig van Beethoven - Piano Sonata No. 8 in C minor, Op. 13 'Pathétique' by Ludwig van Beethoven"
Brown Girl In The Ring by Boney M.,Brown Girl In The Ring by Boney M.
Brown Girl In The Ring by Boney M.,Brown Girl in the Ring by Boney M.
Maybe It's Because I'm A Londoner by Bud Flanagan,Maybe It's Because I'm A Londoner by Bud Flanagan
Maybe It's Because I'm A Londoner by Bud Flanagan,Maybe it's Because I'm a Londoner by Bud Flanagan
Concerto For Orchestra,Concerto For Orchestra
Concerto For Orchestra,Concerto for Orchestra
Violin Concerto in B minor by William Walton,Violin Concerto in B minor by William Walton
Violin Concerto in B minor by William Walton,Violin Concerto in B Minor by William Walton
You've Got To Pick A Pocket Or Two by Jonathan Pryce,You've Got To Pick A Pocket Or Two by Jonathan Pryce
