cluster_value,transform_value
Symphony No. 5 In C Minor by Ludwig van Beethoven,Symphony No. 5 In C Minor by Ludwig van Beethoven
Symphony No. 5 in C minor by Ludwig van Beethoven,Symphony No. 5 In C Minor by Ludwig van Beethoven
Symphony No. 2 in D major by Johannes Brahms,Symphony No. 2 in D major by Johannes Brahms
Symphony No. 2 in D Major by Johannes Brahms,Symphony No. 2 in D major by Johannes Brahms
What A Wonderful World by Louis Armstrong,What A Wonderful World by Louis Armstrong
What a Wonderful World by Louis Armstrong,What A Wonderful World by Louis Armstrong
Goldberg Variations - Aria by Johann Sebastian Bach,Goldberg Variations - Aria by Johann Sebastian Bach
Goldberg variations - Aria by Johann Sebastian Bach,Goldberg Variations - Aria by Johann Sebastian Bach
Nessun dorma by Giacomo Puccini,Nessun dorma by Giacomo Puccini
Nessun Dorma by Giacomo Puccini,Nessun dorma by Giacomo Puccini
Mass in B minor  - Gloria in excelsis by Johann Sebastian Bach,Mass in B minor  - Gloria in excelsis by Johann Sebastian Bach
Mass in B minor - Gloria in excelsis by Johann Sebastian Bach,Mass in B minor  - Gloria in excelsis by Johann Sebastian Bach
The Lord Is My Shepherd by Glasgow Orpheus Choir,The Lord Is My Shepherd by Glasgow Orpheus Choir
The Lord is My Shepherd by Glasgow Orpheus Choir,The Lord Is My Shepherd by Glasgow Orpheus Choir
Canon in D major by Johann Pachelbel,Canon in D major by Johann Pachelbel
Canon in D Major by Johann Pachelbel,Canon in D major by Johann Pachelbel
You Can Call Me Al by Paul Simon,You Can Call Me Al by Paul Simon
You can call me Al by Paul Simon,You Can Call Me Al by Paul Simon
He was Despised (from Messiah) by George Frideric Handel,He was Despised (from Messiah) by George Frideric Handel
He was despised (from Messiah) by George Frideric Handel,He was Despised (from Messiah) by George Frideric Handel
